Account,Symbol,Price,Side,Info,Size,Date
CSTLNM31,CSC,50.010000,1,0,100,20130828-20:01:38 
CSTLNM31,BLL,44.520000,5,0,100,20130828-20:01:43 
CSTLNM31,ACE,87.940000,5,0,96,20130828-20:01:47 
CSTLNM31,ACE,87.940000,5,0,4,20130828-20:01:47 
CSTLNM31,MAN,65.400000,1,0,100,20130828-20:01:48 
CSTLNM31,FRC,44.210000,1,0,100,20130828-20:01:53 
CSTLNM31,HBI,60.650000,1,0,100,20130828-20:01:54 
CSTLNM31,DTE,67.300000,1,0,100,20130828-20:01:55 
CSTLNM31,NOC,92.950000,1,0,100,20130828-20:02:00 
CSTLNM31,URI,55.090000,5,0,100,20130828-20:02:04 
CSTLNM31,RNR,86.320000,5,0,300,20130828-20:02:07 
CSTLNM31,IT,57.780000,5,0,132,20130828-20:02:10 
CSTLNM31,IT,57.780000,5,0,168,20130828-20:02:10 
CSTLNM31,CBT,39.860000,1,0,100,20130828-20:02:17 
CSTLNM31,ENR,98.310000,1,0,89,20130828-20:02:27 
CSTLNM31,ENR,98.310000,1,0,11,20130828-20:02:27 
CSTLNM31,CIT,47.420000,1,0,100,20130828-20:02:27 
CSTLNM31,WWW,56.900000,1,0,6,20130828-20:02:30 
CSTLNM31,WWW,56.900000,1,0,94,20130828-20:02:30 
CSTLNM31,TDC,58.920000,1,0,80,20130828-20:02:30 
CSTLNM31,TDC,58.920000,1,0,20,20130828-20:02:30 
CSTLNM31,MKC,67.090000,5,0,100,20130828-20:02:37 
CSTLNM31,SM,69.520000,5,0,100,20130828-20:02:38 
CSTLNM31,LNT,50.490000,1,0,300,20130828-20:02:53 
CSTLNM31,AMP,86.140000,1,0,100,20130828-20:02:53 
CSTLNM31,SNI,73.170000,5,0,100,20130828-20:02:54 
CSTLNM31,HME,57.900000,5,0,100,20130828-20:02:55 
CSTLNM31,PANW,47.300000,5,0,100,20130828-20:02:55 
CSTLNM31,PH,100.630000,1,0,100,20130828-20:02:56 
CSTLNM31,BEAM,61.080000,1,0,100,20130828-20:03:02 
CSTLNM31,MCO,63.720000,1,0,100,20130828-20:03:02 
CSTLNM31,GWR,86.700000,5,0,100,20130828-20:03:04 
CSTLNM31,RGA,64.040000,5,0,100,20130828-20:03:24 
CSTLNM31,RYN,55.790000,5,0,100,20130828-20:03:28 
CSTLNM31,CNW,42.620000,5,0,100,20130828-20:03:29 
CSTLNM31,DPZ,61.800000,1,0,100,20130828-20:03:33 
CSTLNM31,CVD,81.260000,5,0,100,20130828-20:03:36 
CSTLNM31,AVY,43.260000,5,0,100,20130828-20:03:50 
CSTLNM31,KMX,47.720000,1,0,100,20130828-20:03:56 
